Period ,Labour force  No. (‘000),Labour force Percentage change over the same period in preceding year (%),Unemployed ('000),Unemployment rate (seasonally adjusted) (%) ,Unemployment rate (not seasonally adjusted) (%) ,Underemployed ('000),Underemployment rate (%) 
10/1993 - 12/1993,2911.2,3.3,53.7,2.1,1.8,43.3,1.5
11/1993 - 1/1994,2928.5,3.9,51.6,2.0,1.8,47.1,1.6
12/1993 - 2/1994,2921.0,3.3,49.3,1.8,1.7,46.4,1.6
1/1994 - 3/1994,2904.3,2.5,56.1,1.9,1.9,49.6,1.7
2/1994 - 4/1994,2888.5,1.8,54.1,1.7,1.9,43.3,1.5
3/1994 - 5/1994,2892.7,2.0,54.5,1.7,1.9,44.6,1.5
4/1994 - 6/1994,2918.0,3.0,47.1,1.5,1.6,38.0,1.3
5/1994 - 7/1994,2931.2,3.5,50.1,1.7,1.7,35.5,1.2
6/1994 - 8/1994,2915.6,2.8,56.6,1.9,1.9,32.3,1.1
7/1994 - 9/1994,2921.2,2.6,66.1,2.3,2.3,32.1,1.1
8/1994 - 10/1994,2941.7,3.0,66.3,2.2,2.3,37.1,1.3
9/1994 - 11/1994,2966.8,2.6,62.7,2.2,2.1,40.8,1.4
10/1994 - 12/1994,2972.4,2.1,55.5,2.0,1.9,46.0,1.5
11/1994 - 1/1995,2958.8,1.0,59.5,2.2,2.0,46.2,1.6
12/1994 - 2/1995,2934.4,0.5,67.3,2.4,2.3,43.0,1.5
1/1995 - 3/1995,2929.1,0.9,77.3,2.5,2.6,42.0,1.4
2/1995 - 4/1995,2950.3,2.1,82.8,2.6,2.8,44.7,1.5
3/1995 - 5/1995,2991.3,3.4,80.2,2.5,2.7,57.7,1.9
4/1995 - 6/1995,3009.1,3.1,88.6,2.9,2.9,63.5,2.1
5/1995 - 7/1995,3011.5,2.7,96.1,3.3,3.2,69.4,2.3
6/1995 - 8/1995,3018.0,3.5,108.4,3.6,3.6,75.0,2.5
7/1995 - 9/1995,3018.4,3.3,111.0,3.7,3.7,74.6,2.5
8/1995 - 10/1995,3033.4,3.1,113.4,3.6,3.7,70.7,2.3
9/1995 - 11/1995,3045.3,2.6,112.9,3.7,3.7,66.0,2.2
10/1995 - 12/1995,3046.2,2.5,105.6,3.7,3.5,70.9,2.3
11/1995 - 1/1996,3055.5,3.3,96.2,3.4,3.1,72.7,2.4
12/1995 - 2/1996,3062.7,4.4,90.5,3.1,3.0,67.3,2.2
1/1996 - 3/1996,3065.3,4.7,91.8,2.9,3.0,60.1,2.0
2/1996 - 4/1996,3065.1,3.9,94.3,2.9,3.1,56.3,1.8
3/1996 - 5/1996,3071.9,2.7,92.4,3.0,3.0,57.1,1.9
4/1996 - 6/1996 @,3191.8,2.7,92.8,2.9,2.9,56.0,1.8
5/1996 - 7/1996 @,3183.8,2.3,89.6,2.9,2.8,50.7,1.6
6/1996 - 8/1996 @,3178.7,1.9,87.4,2.7,2.8,44.6,1.4
7/1996 - 9/1996 @,3179.4,1.9,82.9,2.6,2.6,42.5,1.3
8/1996 - 10/1996 @,3186.1,2.0,81.6,2.5,2.6,45.7,1.4
9/1996 - 11/1996 @,3195.7,2.5,85.0,2.6,2.7,47.6,1.5
10/1996 - 12/1996 @,3206.5,3.2,82.3,2.5,2.6,49.3,1.5
11/1996 - 1/1997 @,3219.3,3.3,75.1,2.5,2.3,43.1,1.3
12/1996 - 2/1997 @,3217.3,3.0,69.2,2.3,2.2,36.5,1.1
1/1997 - 3/1997 @,3216.1,3.1,71.5,2.3,2.2,34.3,1.1
2/1997 - 4/1997 @,3218.2,3.1,73.6,2.3,2.3,37.1,1.2
3/1997 - 5/1997 @,3213.3,2.8,70.8,2.2,2.2,39.8,1.2
4/1997 - 6/1997,3213.1,0.7,68.2,2.2,2.1,39.1,1.2
5/1997 - 7/1997,3199.6,0.5,69.2,2.2,2.2,36.9,1.2
6/1997 - 8/1997,3206.9,0.9,71.2,2.1,2.2,36.4,1.1
7/1997 - 9/1997,3213.3,1.1,69.6,2.1,2.2,32.5,1.0
8/1997 - 10/1997,3246.0,1.9,73.7,2.2,2.3,32.8,1.0
9/1997 - 11/1997,3276.3,2.5,74.9,2.2,2.3,36.1,1.1
10/1997 - 12/1997,3296.9,2.8,75.6,2.2,2.3,42.5,1.3
11/1997 - 1/1998,3283.7,2.0,72.5,2.4,2.2,47.7,1.5
12/1997 - 2/1998,3265.7,1.5,87.4,3.0,2.7,52.0,1.6
1/1998 - 3/1998,3246.8,1.0,105.6,3.3,3.3,62.2,1.9
2/1998 - 4/1998,3242.5,0.8,119.9,3.6,3.7,70.2,2.2
3/1998 - 5/1998,3242.5,0.9,126.8,3.9,3.9,82.5,2.5
4/1998 - 6/1998,3257.7,1.4,140.3,4.3,4.3,82.6,2.5
5/1998 - 7/1998,3267.8,2.1,156.6,4.8,4.8,85.3,2.6
6/1998 - 8/1998,3291.5,2.6,170.8,4.9,5.2,82.7,2.5
7/1998 - 9/1998,3290.2,2.4,175.7,5.2,5.3,86.2,2.6
8/1998 - 10/1998,3296.8,1.6,184.7,5.4,5.6,88.2,2.7
9/1998 - 11/1998,3295.2,0.6,187.2,5.5,5.7,94.1,2.9
10/1998 - 12/1998,3309.6,0.4,194.6,5.9,5.9,96.3,2.9
11/1998 - 1/1999,3313.5,0.9,194.6,6.4,5.9,101.8,3.1
12/1998 - 2/1999,3294.6,0.9,197.3,6.4,6.0,96.5,2.9
1/1999 - 3/1999,3296.9,1.5,204.2,6.3,6.2,97.9,3.0
2/1999 - 4/1999,3305.3,1.9,207.2,6.2,6.3,92.9,2.8
3/1999 - 5/1999,3324.7,2.5,206.7,6.2,6.2,97.1,2.9
4/1999 - 6/1999,3325.8,2.1,202.5,6.1,6.1,94.1,2.8
5/1999 - 7/1999,3328.6,1.9,207.4,6.1,6.2,96.8,2.9
6/1999 - 8/1999,3324.8,1.0,211.7,6.1,6.4,96.0,2.9
7/1999 - 9/1999,3315.8,0.8,214.4,6.3,6.5,102.2,3.1
8/1999 - 10/1999,3324.2,0.8,216.1,6.3,6.5,102.9,3.1
9/1999 - 11/1999,3335.8,1.2,215.6,6.3,6.5,100.0,3.0
10/1999 - 12/1999,3339.8,0.9,208.7,6.3,6.2,93.5,2.8
11/1999 - 1/2000,3330.3,0.5,192.9,6.0,5.8,89.5,2.7
12/1999 - 2/2000,3324.8,0.9,190.0,5.9,5.7,85.0,2.6
1/2000 - 3/2000,3337.1,1.2,182.6,5.6,5.5,93.3,2.8
2/2000 - 4/2000,3350.0,1.4,179.3,5.3,5.4,99.0,3.0
3/2000 - 5/2000,3360.8,1.1,167.4,5.1,5.0,107.4,3.2
4/2000 - 6/2000,3365.9,1.2,168.1,5.1,5.0,104.3,3.1
5/2000 - 7/2000,3372.6,1.3,171.0,5.0,5.1,100.2,3.0
6/2000 - 8/2000,3381.0,1.7,171.5,4.9,5.1,94.0,2.8
7/2000 - 9/2000,3391.6,2.3,167.2,4.8,4.9,87.8,2.6
8/2000 - 10/2000,3389.4,2.0,163.8,4.7,4.8,85.4,2.5
9/2000 - 11/2000,3392.2,1.7,156.3,4.5,4.6,88.2,2.6
10/2000 - 12/2000,3402.2,1.9,149.6,4.4,4.4,88.7,2.6
11/2000 - 1/2001,3413.4,2.5,142.9,4.4,4.2,89.5,2.6
12/2000 - 2/2001,3413.5,2.7,147.2,4.5,4.3,82.1,2.4
1/2001 - 3/2001,3406.5,2.1,150.1,4.5,4.4,76.9,2.3
2/2001 - 4/2001,3411.4,1.8,153.7,4.5,4.5,74.1,2.2
3/2001 - 5/2001,3417.4,1.7,152.6,4.5,4.5,77.2,2.3
4/2001 - 6/2001,3412.7,1.4,153.1,4.5,4.5,75.1,2.2
5/2001 - 7/2001,3417.5,1.3,161.1,4.5,4.7,74.3,2.2
6/2001 - 8/2001,3425.6,1.3,172.4,4.8,5.0,75.1,2.2
7/2001 - 9/2001,3438.1,1.4,185.6,5.2,5.4,84.1,2.4
8/2001 - 10/2001,3443.5,1.6,194.2,5.5,5.6,90.3,2.6
9/2001 - 11/2001,3441.5,1.5,204.4,6.0,5.9,97.0,2.8
10/2001 - 12/2001,3446.1,1.3,209.6,6.3,6.1,103.2,3.0
11/2001 - 1/2002,3448.3,1.0,218.1,6.7,6.3,110.4,3.2
12/2001 - 2/2002,3450.0,1.1,226.1,6.8,6.6,107.7,3.1
1/2002 - 3/2002,3450.4,1.3,236.5,7.0,6.9,107.7,3.1
2/2002 - 4/2002,3440.2,0.8,243.3,7.1,7.1,103.1,3.0
3/2002 - 5/2002,3442.9,0.7,250.5,7.3,7.3,106.5,3.1
4/2002 - 6/2002,3452.1,1.2,261.5,7.5,7.6,99.2,2.9
5/2002 - 7/2002,3486.8,2.0,272.8,7.5,7.8,97.3,2.8
6/2002 - 8/2002,3497.8,2.1,272.5,7.4,7.8,100.2,2.9
7/2002 - 9/2002,3501.6,1.8,266.5,7.3,7.6,100.7,2.9
8/2002 - 10/2002,3500.0,1.6,258.4,7.3,7.4,106.2,3.0
9/2002 - 11/2002,3501.0,1.7,252.3,7.3,7.2,103.5,3.0
10/2002 - 12/2002,3492.0,1.3,250.6,7.4,7.2,107.8,3.1
11/2002 - 1/2003,3488.1,1.2,243.3,7.4,7.0,105.4,3.0
12/2002 - 2/2003,3470.6,0.6,252.8,7.6,7.3,98.7,2.8
